GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021900004,1610612754,IND,Indiana,1627734,,F,,35.0,11,15,0,1,5,5,5,8,13,2,0,0,2,5,27,0
0021900004,1610612754,IND,Indiana,1626167,,C,,38.0,9,15,4,7,3,3,2,7,9,0,2,3,4,3,25,0
0021900004,1610612754,IND,Indiana,203087,,G,,25.0,4,11,0,2,2,3,1,3,4,3,1,0,2,4,10,0
0021900004,1610612754,IND,Indiana,1627763,,G,,35.0,5,13,2,4,10,11,0,3,3,11,0,1,2,2,22,0
0021900004,1610612754,IND,Indiana,1628410,,,,21.0,3,6,0,0,0,0,1,0,1,2,3,0,1,4,6,0
0021900004,1610612754,IND,Indiana,203200,,,,14.0,0,2,0,1,0,0,0,0,0,2,1,0,0,3,0,0
0021900004,1610612754,IND,Indiana,1628988,,,,6.0,0,6,0,1,0,0,0,1,1,2,1,0,1,2,0,0
0021900004,1610612754,IND,Indiana,203926,,,,11.0,2,4,2,3,0,0,0,0,0,1,0,0,1,0,6,0
0021900004,1610612754,IND,Indiana,1628388,,,,3.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0021900004,1610612754,IND,Indiana,204456,,,,13.0,2,4,0,0,0,0,0,3,3,3,0,1,1,2,4,0
0021900004,1610612754,IND,Indiana,1629048,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900004,1610612754,IND,Indiana,203960,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900004,1610612765,DET,Detroit,203503,,F,,31.0,4,7,2,4,0,0,0,2,2,2,0,0,1,4,10,0
0021900004,1610612765,DET,Detroit,202693,,F,,22.0,3,11,1,4,1,2,0,3,3,2,1,0,2,1,8,0
0021900004,1610612765,DET,Detroit,203083,,C,,40.0,12,18,0,1,8,10,7,16,23,2,3,4,2,4,32,0
0021900004,1610612765,DET,Detroit,1628971,,G,,28.0,3,6,0,0,1,2,1,3,4,4,0,0,3,3,7,0
0021900004,1610612765,DET,Detroit,202704,,G,,20.0,2,3,1,2,0,0,0,1,1,5,0,0,1,1,5,0
0021900004,1610612765,DET,Detroit,1628379,,,,28.0,8,13,6,9,8,10,0,3,3,2,0,0,1,3,30,0
0021900004,1610612765,DET,Detroit,201565,,,,26.0,6,11,0,0,6,7,1,2,3,9,0,0,4,1,18,0
0021900004,1610612765,DET,Detroit,1627748,,,,15.0,1,4,0,3,2,2,0,2,2,0,0,1,0,3,4,0
0021900004,1610612765,DET,Detroit,204038,,,,20.0,2,4,1,1,0,0,1,3,4,0,1,1,3,1,5,0
0021900004,1610612765,DET,Detroit,1626174,,,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0021900004,1610612765,DET,Detroit,204025,,,,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900004,1610612765,DET,Detroit,1629004,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900004,1610612765,DET,Detroit,1629017,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900005,1610612753,ORL,Orlando,1628371,,F,,23.0,1,3,0,1,1,2,1,7,8,2,1,2,2,4,3,0
0021900005,1610612753,ORL,Orlando,203932,,F,,28.0,2,8,1,2,4,6,0,2,2,3,2,1,1,4,9,0
